"","grid_id","GRAVEL","SAND","CLAY","MUD","SILT","ROCK","SEDIMENT","BEDROCK","count","sediement_NA_flag"
"244",281,0,1,0,5,0,0,1,0,7,0
"245",282,0,0,0,0,2,0,0,0,2,0
"246",286,1,0,0,0,0,0,0,0,1,0
"247",287,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"248",289,0,0,0,1,0,0,0,0,1,0
"249",291,0,0,3,0,1,0,0,0,4,0
"250",292,0,0,3,0,0,0,0,0,3,0
"251",293,0,0,0,1,1,0,0,0,2,0
"252",295,0,0,1,0,0,0,0,0,1,0
"253",296,0,0,0,1,0,0,0,0,1,0
"254",299,0,3,4,4,0,0,0,0,11,0
"255",300,2,2,1,5,0,0,3,0,13,0
"256",301,0,0,0,2,2,0,0,0,4,0
"257",302,1,0,0,0,0,0,0,0,1,0
"258",303,0,0,0,0,1,0,0,0,1,0
"259",304,0,0,1,1,0,0,0,0,2,0
"260",305,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"261",306,1,1,0,0,0,0,0,0,2,0
"262",307,0,0,2,0,0,0,0,0,2,0
"263",309,0,0,1,0,0,0,0,0,1,0
"264",311,0,0,0,1,1,0,0,0,2,0
"265",312,0,1,2,2,0,0,0,0,5,0
"266",313,0,0,0,1,0,0,0,0,1,0
"267",314,0,0,0,2,0,0,0,0,2,0
"268",315,0,0,1,1,0,0,0,0,2,0
"269",316,0,0,0,1,0,0,1,0,2,0
"270",317,0,0,1,0,0,0,0,0,1,0
"271",318,0,0,0,2,0,0,0,0,2,0
"272",319,0,0,1,2,1,0,0,0,4,0
"273",320,1,3,1,5,0,0,3,0,13,0
