LATITUDE,LONGITUDE,LITHOLOGY,LITHO_GROUP
43.57506111111111,-69.85969444444444,SANDY MUD,MUD
43.56255833333333,-69.87457777777777,MUD,MUD
43.55081666666666,-69.88923611111112,MUDDY SAND,SAND
43.56729166666667,-69.90674444444446,HARD BOTTOM (NO SAMPLE RECOVERED),
43.57905277777778,-69.89296944444445,MUD,MUD
43.59073611111111,-69.87809444444444,MUD,MUD
43.60294444444445,-69.86322222222222,MUD,MUD
43.61446388888889,-69.84838611111111,SANDY MUD,MUD
43.62603888888889,-69.83385555555554,HARD BOTTOM (NO SAMPLE RECOVERED),
43.63794722222222,-69.81889722222222,SAND,SAND
43.62082777777778,-69.80065555555555,HARD BOTTOM (NO SAMPLE RECOVERED),
43.609344444444446,-69.81640277777778,HARD BOTTOM (NO SAMPLE RECOVERED),
43.64301944444444,-69.8513,MUDDY SAND,SAND
43.66050833333333,-69.8700861111111,SAND,SAND
43.67077222222222,-69.88069999999999,SAND,SAND
43.67359166666667,-69.89115833333334,SAND,SAND
43.694022222222216,-69.90555,GRAVELLY SAND,SAND
43.68758611111111,-69.92788888888889,MUDDY SANDY GRAVEL,GRAVEL
43.682719444444444,-69.92039166666667,MUDDY SAND,SAND
43.672977777777774,-69.91037222222222,SANDY MUD,MUD
43.66900555555555,-69.89869444444444,SAND,SAND
43.663580555555555,-69.89993333333334,SANDY MUD,MUD
43.65833333333333,-69.89519166666668,MUDDY SAND,SAND
43.64460277777778,-69.88931388888889,SANDY MUD,MUD
43.63591666666667,-69.89922777777778,MUDDY SAND,SAND
43.62319166666667,-69.91560277777778,HARD BOTTOM (NO SAMPLE RECOVERED),
43.61413888888889,-69.9259138888889,SANDY MUD,MUD
43.629777777777775,-69.94448611111112,HARD BOTTOM (NO SAMPLE RECOVERED),
43.633469444444444,-69.94835,GRAVELLY MUDDY SAND,SAND
43.721405555555556,-69.98657777777778,SANDY MUD,MUD
43.70432777777778,-69.96977222222222,MUD,MUD
43.68747777777777,-69.9523638888889,HARD BOTTOM (NO SAMPLE RECOVERED),
43.65993888888889,-69.90975555555556,GRAVELLY SANDY MUD,MUD
43.619461111111114,-69.95507777777777,MUDDY SAND,SAND
43.60590555555556,-69.97330555555556,MUDDY SANDY GRAVEL,GRAVEL
43.58960277777778,-69.95656666666667,GRAVELLY SANDY MUD,MUD
43.577625000000005,-69.97061111111111,HARD BOTTOM (NO SAMPLE RECOVERED),
43.59415,-69.98781111111111,MUDDY GRAVELLY SAND,SAND
43.58256666666667,-70.00193055555556,HARD BOTTOM (NO SAMPLE RECOVERED),
43.565524999999994,-69.98585277777778,SANDY MUDDY GRAVEL,GRAVEL
43.553891666666665,-69.999475,MUD,MUD
43.557424999999995,-70.0350111111111,HARD BOTTOM (NO SAMPLE RECOVERED),
43.53093055555556,-70.05953888888888,HARD BOTTOM (NO SAMPLE RECOVERED),
43.54678611111111,-70.12461944444443,HARD BOTTOM (NO SAMPLE RECOVERED),
43.557827777777774,-70.13552777777778,GRAVELLY MUD,MUD
43.56795833333334,-70.14494722222223,MUDDY SANDY GRAVEL,GRAVEL
43.58338055555556,-70.16053055555557,HARD BOTTOM (NO SAMPLE RECOVERED),
43.59271666666667,-70.17024722222223,HARD BOTTOM (NO SAMPLE RECOVERED),
43.620219444444444,-70.17221666666667,SANDY GRAVEL,GRAVEL
43.62179166666667,-70.1694138888889,SAND,SAND
43.63650555555556,-70.17204722222223,MUD,MUD
43.652699999999996,-70.16921388888889,SANDY MUD,MUD
43.67315555555555,-70.07936388888889,MUDDY SANDY GRAVEL,GRAVEL
43.64859722222222,-70.06781666666666,SANDY MUDDY GRAVEL,GRAVEL
43.63887777777778,-70.06045,SANDY MUD,MUD
43.64262222222222,-70.05063888888888,MUDDY SANDY GRAVEL,GRAVEL
43.651402777777776,-70.04702777777777,MUDDY SANDY GRAVEL,GRAVEL
43.65221944444444,-70.05341388888888,SANDY MUD,MUD
43.65808055555556,-70.04626944444445,MUD,MUD
43.67151944444444,-70.0472361111111,SANDY MUD,MUD
43.68134444444444,-70.05239444444445,GRAVELLY SANDY MUD,MUD
43.68726944444444,-70.0551,SANDY MUDDY GRAVEL,GRAVEL
43.695024999999994,-70.05826111111111,HARD BOTTOM (NO SAMPLE RECOVERED),
43.69262222222222,-69.98284722222222,SANDY MUD,MUD
43.675444444444445,-69.96595277777779,HARD BOTTOM (NO SAMPLE RECOVERED),
43.63186944444445,-69.86675,GRAVELLY MUDDY SAND,SAND
43.620447222222225,-69.88054722222222,GRAVELLY SANDY MUD,MUD
43.60832222222222,-69.89518333333334,MUD,MUD
43.59697222222223,-69.90958333333334,MUD,MUD
43.61295833333333,-69.92735833333334,SANDY MUD,MUD
43.585008333333334,-69.92386111111112,SANDY MUD,MUD
43.542024999999995,-70.01281666666667,SANDY GRAVEL,GRAVEL
43.529849999999996,-70.02687777777777,SANDY MUD,MUD
43.51786666666666,-70.04143333333333,MUDDY GRAVELLY SAND,SAND
43.50568333333333,-70.05557777777777,HARD BOTTOM (NO SAMPLE RECOVERED),
43.49385,-70.07034999999999,HARD BOTTOM (NO SAMPLE RECOVERED),
43.48201944444445,-70.08434722222222,HARD BOTTOM (NO SAMPLE RECOVERED),
43.46992222222222,-70.09861388888888,SANDY MUD,MUD
43.457727777777784,-70.11330555555556,SANDY MUD,MUD
43.47345,-70.12901666666666,HARD BOTTOM (NO SAMPLE RECOVERED),
43.485475,-70.11606666666665,MUDDY SANDY GRAVEL,GRAVEL
43.497505555555556,-70.10129166666665,SANDY MUD,MUD
43.509819444444446,-70.08757222222222,HARD BOTTOM (NO SAMPLE RECOVERED),
43.547263888888885,-70.11619166666667,HARD BOTTOM (NO SAMPLE RECOVERED),
43.55664722222222,-70.10466666666666,HARD BOTTOM (NO SAMPLE RECOVERED),
43.574308333333335,-70.08682777777777,HARD BOTTOM (NO SAMPLE RECOVERED),
43.58595555555556,-70.08630833333333,HARD BOTTOM (NO SAMPLE RECOVERED),
43.59628333333333,-70.09495555555556,MUDDY GRAVELLY SAND,SAND
43.60908333333334,-70.10880277777777,SANDY MUD,MUD
43.62285833333333,-70.10130277777778,GRAVELLY SAND,SAND
43.629111111111115,-70.09376666666667,HARD BOTTOM (NO SAMPLE RECOVERED),
43.639002777777776,-70.08212777777777,HARD BOTTOM (NO SAMPLE RECOVERED),
43.62943611111111,-70.0513111111111,MUDDY SAND,SAND
43.61687222222222,-70.03815833333333,HARD BOTTOM (NO SAMPLE RECOVERED),
43.59514166666667,-70.01633333333334,HARD BOTTOM (NO SAMPLE RECOVERED),
43.61040555555556,-70.00523055555556,MUDDY SANDY GRAVEL,GRAVEL
43.622791666666664,-69.99122222222222,HARD BOTTOM (NO SAMPLE RECOVERED),
43.63928055555556,-70.008125,HARD BOTTOM (NO SAMPLE RECOVERED),
43.62789166666667,-70.02230833333333,MUDDY SAND,SAND
43.64436944444444,-70.03981666666667,HARD BOTTOM (NO SAMPLE RECOVERED),
43.65625277777777,-70.02593611111111,HARD BOTTOM (NO SAMPLE RECOVERED),
43.628972222222224,-69.967725,HARD BOTTOM (NO SAMPLE RECOVERED),
43.64147222222222,-69.98240555555556,HARD BOTTOM (NO SAMPLE RECOVERED),
43.64628888888889,-69.98901666666667,SANDY MUD,MUD
43.64530555555555,-69.98719444444444,SANDY MUD,MUD
43.65668333333333,-69.99909166666667,MUDDY SAND,SAND
43.662552777777776,-70.00519722222222,HARD BOTTOM (NO SAMPLE RECOVERED),
43.65452777777778,-70.0275861111111,GRAVELLY SANDY MUD,MUD
43.65904166666667,-70.02120555555555,MUDDY SANDY GRAVEL,GRAVEL
43.663375,-70.01908611111111,MUDDY SAND,SAND
43.607372222222224,-70.18451388888889,GRAVEL,GRAVEL
43.62476388888889,-70.20235833333334,SAND,SAND
43.631344444444444,-70.20977500000001,SAND,SAND
43.66776111111111,-70.17230277777779,SANDY GRAVEL,GRAVEL
43.68351388888888,-70.18565555555556,MUDDY SAND,SAND
43.69186111111111,-70.17147222222222,GRAVELLY SAND,SAND
43.71169444444445,-70.16658611111112,SANDY MUD,MUD
43.728341666666665,-70.17530000000001,SANDY MUD,MUD
43.740883333333336,-70.15716388888889,SANDY MUD,MUD
43.72167777777778,-70.15299166666668,MUDDY GRAVELLY SAND,SAND
43.73281388888889,-70.14279444444445,SANDY MUD,MUD
43.74834166666667,-70.13157222222222,MUDDY GRAVELLY SAND,SAND
43.75633333333333,-70.11998888888888,MUDDY SAND,SAND
43.7653,-70.09232499999999,MUDDY SANDY GRAVEL,GRAVEL
43.77206666666667,-70.078025,SANDY MUD,MUD
43.77861388888889,-70.07357499999999,MUDDY GRAVELLY SAND,SAND
43.77576944444444,-70.05697777777777,SANDY MUD,MUD
43.77613611111111,-70.030825,SANDY MUD,MUD
43.78461111111111,-70.02707222222222,SANDY MUD,MUD
43.792230555555555,-70.02795833333333,SANDY MUD,MUD
43.79628611111111,-70.01853333333334,MUDDY SANDY GRAVEL,GRAVEL
43.806822222222216,-70.01012777777778,MUD,MUD
43.81171388888889,-69.99630555555555,SANDY MUD,MUD
43.82047777777778,-69.98577777777778,MUD,MUD
43.70519166666667,-70.02269444444444,SANDY MUD,MUD
43.67950277777778,-70.02651944444445,HARD BOTTOM (NO SAMPLE RECOVERED),
43.65869166666666,-69.94860555555556,SANDY MUD,MUD
43.67375277777778,-69.93046111111111,HARD BOTTOM (NO SAMPLE RECOVERED),
43.71616388888889,-69.95533055555556,SANDY MUD,MUD
43.70263888888889,-69.99840555555555,HARD BOTTOM (NO SAMPLE RECOVERED),
43.72654722222222,-70.011325,SANDY MUD,MUD
43.729058333333334,-69.93157500000001,SANDY MUD,MUD
43.73476111111111,-69.90825833333334,SANDY MUD,MUD
43.74093055555556,-69.88808333333334,SANDY MUD,MUD
43.75904722222222,-69.88052499999999,SANDY MUD,MUD
43.76741666666666,-69.89215,MUD,MUD
43.76283333333333,-69.90035833333334,SANDY MUD,MUD
43.75964444444445,-69.92071944444444,SANDY MUD,MUD
43.75969444444444,-69.93462777777778,HARD BOTTOM (NO SAMPLE RECOVERED),
43.740547222222226,-69.9503388888889,HARD BOTTOM (NO SAMPLE RECOVERED),
43.75989722222222,-69.95478611111112,MUD,MUD
43.75161666666666,-69.97106111111111,SANDY MUD,MUD
43.73948055555556,-69.98082777777778,HARD BOTTOM (NO SAMPLE RECOVERED),
43.74131944444444,-70.00050555555555,MUDDY SANDY GRAVEL,GRAVEL
43.76304722222222,-69.986475,SANDY MUD,MUD
43.76298333333333,-70.00015555555555,MUD,MUD
43.71712222222222,-70.06187777777778,HARD BOTTOM (NO SAMPLE RECOVERED),
43.73672222222223,-70.06663333333333,MUDDY GRAVELLY SAND,SAND
43.74489722222222,-70.05116111111111,HARD BOTTOM (NO SAMPLE RECOVERED),
43.760241666666666,-70.038675,SANDY MUD,MUD
43.80543888888889,-70.02472777777778,MUD,MUD
43.820347222222225,-70.02488611111112,MUD,MUD
43.82559444444445,-70.02856666666666,GRAVELLY MUD,MUD
43.83647777777778,-70.031875,MUD,MUD
43.81793888888889,-70.04388888888889,MUD,MUD
43.801180555555554,-70.04548055555556,MUD,MUD
43.799033333333334,-70.09346666666666,MUDDY SAND,SAND
43.78693333333333,-70.08510277777778,SANDY MUD,MUD
43.755358333333334,-70.05855,SANDY MUD,MUD
43.75236666666667,-70.09010555555555,SANDY MUD,MUD
43.721561111111114,-70.103325,SANDY MUD,MUD
43.70920277777778,-70.10320833333333,SANDY MUD,MUD
43.69029444444444,-70.13933333333334,GRAVELLY SAND,SAND
43.68253611111111,-70.13123055555555,SANDY MUD,MUD
43.677099999999996,-70.12514722222221,HARD BOTTOM (NO SAMPLE RECOVERED),
43.64621388888889,-70.14590277777778,SANDY MUD,MUD
43.658091666666664,-70.13289999999999,SANDY MUD,MUD
43.67014722222222,-70.11927777777777,SANDY MUD,MUD
43.68608333333333,-70.09838888888888,MUD,MUD
43.70264166666667,-70.0795,MUDDY SANDY GRAVEL,GRAVEL
43.68910833333333,-70.07708888888888,HARD BOTTOM (NO SAMPLE RECOVERED),
43.66609166666667,-70.08812222222221,SANDY GRAVEL,GRAVEL
43.65368055555555,-70.10185,HARD BOTTOM (NO SAMPLE RECOVERED),
43.64122777777778,-70.11642222222221,HARD BOTTOM (NO SAMPLE RECOVERED),
43.62458888888889,-70.07186666666666,SANDY MUD,MUD
43.60556666666667,-70.05318333333334,HARD BOTTOM (NO SAMPLE RECOVERED),
43.58895555555556,-70.06120277777778,HARD BOTTOM (NO SAMPLE RECOVERED),
43.6056,-70.08503888888889,SANDY GRAVELLY MUD,MUD
43.60105,-70.12660277777778,HARD BOTTOM (NO SAMPLE RECOVERED),
43.58701666666667,-70.13856944444446,HARD BOTTOM (NO SAMPLE RECOVERED),
43.514575,-70.11818055555555,HARD BOTTOM (NO SAMPLE RECOVERED),
43.51830277777778,-70.14864166666668,HARD BOTTOM (NO SAMPLE RECOVERED),
43.53185277777778,-70.1342388888889,SANDY GRAVEL,GRAVEL
43.54829722222222,-70.15130833333333,HARD BOTTOM (NO SAMPLE RECOVERED),
43.53548611111111,-70.16508888888889,HARD BOTTOM (NO SAMPLE RECOVERED),
43.54758333333333,-70.20337777777777,HARD BOTTOM (NO SAMPLE RECOVERED),
43.55004722222222,-70.17997222222223,GRAVELLY SANDY MUD,MUD
43.56373055555555,-70.16815555555556,HARD BOTTOM (NO SAMPLE RECOVERED),
43.57811666666667,-70.17929722222223,HARD BOTTOM (NO SAMPLE RECOVERED),
43.64791388888889,-70.19148611111112,GRAVELLY SAND,SAND
43.65119722222222,-70.20155555555556,MUDDY SAND,SAND
43.648855555555556,-70.21008333333333,SANDY MUD,MUD
43.64171388888889,-70.21896944444444,GRAVELLY SAND,SAND
43.644669444444446,-70.22374722222223,MUDDY SAND,SAND
43.65718888888889,-70.22783055555556,MUDDY SAND,SAND
43.659330555555556,-70.23593333333334,SANDY MUD,MUD
43.665819444444445,-70.23444444444445,SANDY MUD,MUD
43.68011944444444,-70.24119166666667,GRAVELLY SAND,SAND
43.67171388888889,-70.22838888888889,SANDY MUD,MUD
43.667249999999996,-70.22348333333333,MUD,MUD
43.67205,-70.21300277777777,SANDY MUD,MUD
43.65683333333333,-70.21531666666667,SANDY MUD,MUD
43.66005555555555,-70.20793611111111,SANDY MUD,MUD
43.67519166666666,-70.188125,MUD,MUD
43.69475833333333,-70.18599166666667,GRAVELLY MUDDY SAND,SAND
43.69555,-70.19817222222223,MUD,MUD
43.68691666666666,-70.21532777777779,MUD,MUD
43.712205555555556,-70.21199722222222,SANDY MUD,MUD
43.70536388888889,-70.194475,SANDY MUD,MUD
43.71407222222223,-70.18493333333333,MUD,MUD
43.726730555555555,-70.19442222222223,MUD,MUD
43.75781111111111,-70.16965555555556,MUD,MUD
43.74494444444444,-70.16911388888889,MUD,MUD
43.764741666666666,-70.10988611111111,SANDY MUD,MUD
43.77506666666667,-70.09943055555556,MUD,MUD
43.71271388888889,-70.13610000000001,SANDY MUD,MUD
43.668125,-70.15413611111111,SANDY MUD,MUD
43.59813055555556,-69.74856944444444,SANDY MUD,MUD
43.58760277777778,-69.76349444444445,MUD,MUD
43.58090277777778,-69.81114444444444,MUD,MUD
43.55224444444444,-69.81032499999999,SANDY MUD,MUD
43.54134444444444,-69.82356388888888,MUDDY SAND,SAND
43.52965,-69.83806944444444,HARD BOTTOM (NO SAMPLE RECOVERED),
43.521591666666666,-69.83039722222222,HARD BOTTOM (NO SAMPLE RECOVERED),
43.501575,-69.83573333333332,GRAVELLY MUD,MUD
43.517180555555555,-69.85310277777778,HARD BOTTOM (NO SAMPLE RECOVERED),
43.53346666666666,-69.87049722222221,HARD BOTTOM (NO SAMPLE RECOVERED),
43.54346388888889,-69.93426388888889,SANDY MUDDY GRAVEL,GRAVEL
43.560113888888885,-69.95238888888889,SANDY MUD,MUD
43.79909444444444,-69.61196666666666,GRAVELLY SANDY MUD,MUD
43.78769722222222,-69.626775,GRAVELLY MUDDY SAND,SAND
43.77661388888889,-69.64165000000001,SANDY MUD,MUD
43.765080555555556,-69.65664166666667,MUD,MUD
43.75344444444445,-69.67126666666667,MUDDY SAND,SAND
43.742197222222224,-69.68627500000001,HARD BOTTOM (NO SAMPLE RECOVERED),
43.73087777777778,-69.70131944444445,SANDY MUD,MUD
43.71919722222223,-69.71597222222222,MUDDY GRAVELLY SAND,SAND
43.70769166666667,-69.73076666666667,GRAVELLY SAND,SAND
43.6962,-69.74590833333333,GRAVELLY SAND,SAND
43.684713888888886,-69.76006111111111,SANDY GRAVEL,GRAVEL
43.684597222222216,-69.76020833333334,GRAVELLY SAND,SAND
43.66127222222222,-69.78990555555555,GRAVELLY SAND,SAND
43.65291388888889,-69.780925,SAND,SAND
43.64436111111111,-69.77229722222222,MUDDY SAND,SAND
43.656055555555554,-69.75736111111111,HARD BOTTOM (NO SAMPLE RECOVERED),
43.66724444444444,-69.74214444444445,MUDDY SAND,SAND
43.67896666666667,-69.72749722222223,MUDDY SAND,SAND
43.69048055555555,-69.71258888888889,SANDY MUD,MUD
43.701838888888894,-69.69784166666668,SANDY MUD,MUD
43.71285833333334,-69.68514722222223,SANDY MUD,MUD
43.72467777777778,-69.66761666666667,MUD,MUD
43.73628611111111,-69.6523888888889,SANDY MUD,MUD
43.74780833333333,-69.63728333333334,SANDY MUD,MUD
43.75891388888889,-69.62232499999999,SAND,SAND
43.74185555555556,-69.60334444444445,GRAVELLY SANDY MUD,MUD
43.72442222222222,-69.58394444444444,SANDY MUD,MUD
43.73493888888889,-69.56845,HARD BOTTOM (NO SAMPLE RECOVERED),
43.74666944444444,-69.55345833333332,SANDY MUD,MUD
43.75761388888889,-69.53816388888889,MUDDY SANDY GRAVEL,GRAVEL
43.763975,-69.57203055555556,HARD BOTTOM (NO SAMPLE RECOVERED),
43.77527222222222,-69.55783888888888,HARD BOTTOM (NO SAMPLE RECOVERED),
43.79367222222222,-69.57742777777777,MUDDY GRAVELLY SAND,SAND
43.78185833333333,-69.59203333333333,MUDDY SAND,SAND
43.77084166666666,-69.60768888888889,SAND,SAND
43.73551111111111,-69.5685361111111,SANDY GRAVEL,GRAVEL
43.730025000000005,-69.61816944444443,HARD BOTTOM (NO SAMPLE RECOVERED),
43.719225,-69.63331388888888,HARD BOTTOM (NO SAMPLE RECOVERED),
43.7076,-69.64831666666667,SANDY MUD,MUD
43.69621111111111,-69.66336666666668,SANDY MUD,MUD
43.68470555555555,-69.67773611111112,SANDY GRAVEL,GRAVEL
43.67361111111111,-69.69311388888889,MUDDY SANDY GRAVEL,GRAVEL
43.662277777777774,-69.7082638888889,SANDY GRAVEL,GRAVEL
43.65035555555556,-69.723325,SANDY MUD,MUD
43.6387,-69.73808055555556,MUD,MUD
43.62755555555555,-69.75285833333334,MUD,MUD
43.61912777777778,-69.74433055555555,SANDY MUD,MUD
43.610325,-69.73515,MUD,MUD
43.621719444444444,-69.72030555555556,SANDY MUD,MUD
43.63288333333333,-69.70523611111112,SANDY MUD,MUD
43.64436944444444,-69.69019166666666,MUD,MUD
43.65613333333333,-69.67514722222222,MUDDY SAND,SAND
43.667319444444445,-69.65984722222223,SANDY MUD,MUD
43.67852222222222,-69.64453333333334,MUDDY GRAVELLY SAND,SAND
43.689988888888884,-69.62922777777777,HARD BOTTOM (NO SAMPLE RECOVERED),
