"OPERATION_ID","OPERATION_STATUS","CRUISE_ID","SITE_NAME","START_TIME","START_LAT","START_LON","END_TIME","END_LAT","END_LON","END_LONdec","START_LONdec","START_LATdec","END_LATdec","date","cruise_op"
38,"Representative","201880","7-28 APR","4/18/18 12:39","4225.220N","07039.198W","4/18/18 13:09","4224.891N","07037.346W",-70.62243333,-70.6533,42.42033333,42.41485,"4/18/18","201880_38"
39,"Representative","201880","4-38 APR","4/18/18 15:03","4232.744N","07044.336W","4/18/18 15:24","4233.080N","07042.961W",-70.71601667,-70.73893333,42.54573333,42.55133333,"4/18/18","201880_39"
40,"Representative","201880","4-35 APR","4/18/18 16:20","4234.165N","07035.835W","4/18/18 16:50","4235.442N","07034.910W",-70.58183333,-70.59725,42.56941667,42.5907,"4/18/18","201880_40"
41,"Representative","201880","5-33 APR","4/18/18 18:00","4239.126N","07027.608W","4/18/18 18:30","4239.758N","07025.832W",-70.43053333,-70.46013333,42.6521,42.66263333,"4/18/18","201880_41"
42,"Representative","201880","4-34 APR","4/18/18 20:24","4247.051N","07037.603W","4/18/18 20:54","4248.300N","07038.384W",-70.63973333,-70.62671667,42.78418333,42.805,"4/18/18","201880_42"
43,"Non-Representative","201880","4-87 APR ALT","4/18/18 22:52","4253.200N","07033.755W","4/18/18 22:53","4253.186N","07033.726W",-70.5621,-70.56258333,42.88666667,42.88643333,"4/18/18","201880_43"
44,"Non-Representative","201880","4-87 APR ALT","4/18/18 23:05","4252.868N","07033.201W","4/18/18 23:09","4252.819N","07033.180W",-70.553,-70.55335,42.88113333,42.88031667,"4/19/18","201880_44"
45,"Representative","201880","11-12 APR","4/19/18 10:24","4304.862N","07012.508W","4/19/18 10:54","4304.129N","07010.823W",-70.18038333,-70.20846667,43.08103333,43.06881667,"4/19/18","201880_45"
46,"Representative","201880","11-3 APR","4/19/18 12:09","4300.194N","07002.589W","4/19/18 12:39","4258.732N","07002.371W",-70.03951667,-70.04315,43.00323333,42.97886667,"4/19/18","201880_46"
47,"Representative","201880","11-10 APR","4/19/18 13:41","4254.489N","06956.881W","4/19/18 14:11","4253.168N","06956.767W",-69.94611667,-69.94801667,42.90815,42.88613333,"4/19/18","201880_47"
48,"Representative","201880","5-32 APR","4/19/18 16:53","4254.849N","07021.219W","4/19/18 17:23","4255.740N","07022.728W",-70.3788,-70.35365,42.91415,42.929,"4/19/18","201880_48"
49,"Representative","201880","4-36 APR","4/19/18 18:41","4258.910N","07030.226W","4/19/18 19:01","4258.398N","07031.451W",-70.52418333,-70.50376667,42.98183333,42.9733,"4/19/18","201880_49"
50,"Representative","201880","5-30 APR","4/19/18 20:03","4253.185N","07027.858W","4/19/18 20:33","4251.724N","07028.168W",-70.46946667,-70.4643,42.88641667,42.86206667,"4/23/18","201880_50"
52,"Representative","201880","5-29 APR","4/23/18 11:43","4230.848N","07027.718W","4/23/18 12:13","4232.270N","07027.683W",-70.46138333,-70.46196667,42.51413333,42.53783333,"4/23/18","201880_52"
53,"Representative","201880","5-31 APR","4/23/18 13:36","4235.795N","07022.465W","4/23/18 14:06","4237.135N","07023.124W",-70.3854,-70.37441667,42.59658333,42.61891667,"4/23/18","201880_53"
54,"Non-Representative","201880","11-2 APR","4/23/18 15:27","4240.812N","07013.468W","4/23/18 15:31","4240.664N","07013.298W",-70.22163333,-70.22446667,42.6802,42.67773333,"4/23/18","201880_54"
55,"Representative","201880","11-2 APR","4/23/18 17:43","4242.319N","07011.659W","4/23/18 18:13","4241.550N","07010.077W",-70.16795,-70.19431667,42.70531667,42.6925,"4/23/18","201880_55"
56,"Representative","201880","11-7 APR","4/23/18 19:29","4240.968N","06959.721W","4/23/18 19:59","4239.665N","06959.253W",-69.98755,-69.99535,42.6828,42.66108333,"4/23/18","201880_56"
57,"Representative","201880","11-13 APR","4/23/18 20:40","4237.158N","07001.519W","4/23/18 21:10","4235.780N","07001.451W",-70.02418333,-70.02531667,42.6193,42.59633333,"4/23/18","201880_57"
58,"Representative","201880","11-11 APR","4/23/18 22:44","4226.249N","06955.963W","4/23/18 23:14","4224.809N","06956.311W",-69.93851667,-69.93271667,42.43748333,42.41348333,"4/24/18","201880_58"
59,"Representative","201880","8-23 APR","4/24/18 10:25","4203.485N","07000.592W","4/24/18 10:55","4204.448N","07001.756W",-70.02926667,-70.00986667,42.05808333,42.07413333,"4/24/18","201880_59"
60,"Representative","201880","8-22 APR","4/24/18 11:20","4206.070N","07002.996W","4/24/18 11:50","4207.135N","07003.953W",-70.06588333,-70.04993333,42.10116667,42.11891667,"4/24/18","201880_60"
61,"Representative","201880","11-4 APR","4/24/18 13:25","4215.955N","07003.430W","4/24/18 13:55","4215.734N","07005.218W",-70.08696667,-70.05716667,42.26591667,42.26223333,"4/24/18","201880_61"
62,"Representative","201880","11-8 APR","4/24/18 15:20","4220.615N","07006.245W","4/24/18 15:50","4221.929N","07005.786W",-70.09643333,-70.10408333,42.34358333,42.36548333,"4/24/18","201880_62"
63,"Representative","201880","11-9 APR","4/24/18 16:33","4223.416N","07009.727W","4/24/18 16:55","4223.149N","07011.023W",-70.18371667,-70.16211667,42.39026667,42.38581667,"5/1/18","201880_63"
65,"Representative","201880","8-23 MAY","5/1/18 10:43","4211.132N","07030.246W","5/1/18 11:13","4210.584N","07028.424W",-70.47373333,-70.5041,42.18553333,42.1764,"5/1/18","201880_65"
66,"Representative","201880","7-27 MAY","5/1/18 12:19","4204.918N","07032.927W","5/1/18 12:49","4203.546N","07033.889W",-70.56481667,-70.54878333,42.08196667,42.0591,"5/1/18","201880_66"
67,"Representative","201880","10-15 MAY","5/1/18 13:57","4157.187N","07028.703W","5/1/18 14:27","4155.761N","07028.070W",-70.46783333,-70.47838333,41.95311667,41.92935,"5/4/18","201880_67"
69,"Representative","201880","10-16 MAY","5/4/18 11:22","4157.176N","07023.082W","5/4/18 11:51","4155.913N","07022.334W",-70.37223333,-70.3847,41.95293333,41.93188333,"5/4/18","201880_69"
70,"Representative","201880","10-14 MAY","5/4/18 12:58","4150.334N","07018.200W","5/4/18 13:28","4149.109N","07017.078W",-70.28463333,-70.30333333,41.8389,41.81848333,"5/4/18","201880_70"
71,"Representative","201880","8-20 MAY","5/4/18 15:15","4200.710N","07020.776W","5/4/18 15:45","4202.073N","07021.333W",-70.35555,-70.34626667,42.01183333,42.03455,"5/4/18","201880_71"
72,"Representative","201880","8-18 MAY","5/4/18 16:32","4205.027N","07018.680W","5/4/18 17:02","4206.025N","07017.323W",-70.28871667,-70.31133333,42.08378333,42.10041667,"5/4/18","201880_72"
73,"Representative","201880","8-21 MAY","5/4/18 18:38","4208.326N","07004.346W","5/4/18 19:08","4209.386N","07002.973W",-70.04955,-70.07243333,42.13876667,42.15643333,"5/4/18","201880_73"
74,"Representative","201880","8-17 MAY","5/4/18 20:04","4211.816N","07008.837W","5/4/18 20:34","4211.365N","07010.463W",-70.17438333,-70.14728333,42.19693333,42.18941667,"5/8/18","201880_74"
76,"Representative","201880","11-1 MAY","5/8/18 16:39","4257.371N","07002.889W","5/8/18 17:09","4258.464N","07001.566W",-70.0261,-70.04815,42.95618333,42.9744,"5/8/18","201880_76"
77,"Representative","201880","11-4 MAY","5/8/18 18:15","4301.267N","07008.802W","5/8/18 18:45","4302.696N","07008.709W",-70.14515,-70.1467,43.02111667,43.04493333,"5/8/18","201880_77"
78,"Representative","201880","3-43 MAY","5/8/18 20:54","4302.028N","06951.786W","5/8/18 21:24","4303.308N","06950.926W",-69.84876667,-69.8631,43.0338,43.05513333,"5/8/18","201880_78"
79,"Representative","201880","3-39 MAY","5/8/18 21:56","4304.513N","06950.411W","5/8/18 22:26","4305.726N","06949.642W",-69.82736667,-69.84018333,43.07521667,43.09543333,"5/8/18","201880_79"
80,"Representative","201880","3-40 MAY","5/8/18 23:14","4304.423N","06945.779W","5/8/18 23:44","4304.374N","06943.866W",-69.7311,-69.76298333,43.07371667,43.0729,"5/9/18","201880_80"
81,"Non-Representative","201880","3-44 MAY","5/9/18 10:11","4307.730N","06934.050W","5/9/18 10:29","4307.753N","06935.270W",-69.58783333,-69.5675,43.12883333,43.12921667,"5/9/18","201880_81"
82,"Representative","201880","3-94 MAY ALT","5/9/18 12:04","4310.133N","06941.322W","5/9/18 12:34","4309.929N","06943.283W",-69.72138333,-69.6887,43.16888333,43.16548333,"5/9/18","201880_82"
83,"Representative","201880","3-41 MAY","5/9/18 13:22","4313.042N","06940.607W","5/9/18 13:52","4314.015N","06941.982W",-69.6997,-69.67678333,43.21736667,43.23358333,"5/9/18","201880_83"
84,"Non-Representative","201880","3-42 MAY","5/9/18 14:54","4312.318N","06948.077W","5/9/18 15:24","4311.224N","06949.349W",-69.82248333,-69.80128333,43.2053,43.18706667,"5/9/18","201880_84"
85,"Representative","201880","3-42 MAY","5/9/18 16:54","4311.998N","06949.659W","5/9/18 17:24","4312.529N","06947.862W",-69.7977,-69.82765,43.19996667,43.20881667,"5/9/18","201880_85"
86,"Representative","201880","11-7 MAY","5/9/18 18:59","4312.136N","06958.613W","5/9/18 19:29","4312.870N","07000.134W",-70.00223333,-69.97688333,43.20226667,43.2145,"5/9/18","201880_86"
87,"Representative","201880","3-47 MAY","5/9/18 20:37","4317.821N","06957.616W","5/9/18 21:07","4319.241N","06957.065W",-69.95108333,-69.96026667,43.29701667,43.32068333,"5/9/18","201880_87"
88,"Representative","201880","3-46 MAY","5/9/18 22:01","4322.785N","06954.149W","5/9/18 22:21","4323.603N","06953.566W",-69.89276667,-69.90248333,43.37975,43.39338333,"5/10/18","201880_88"
89,"Representative","201880","2-50 MAY","5/10/18 9:50","4324.642N","07014.289W","5/10/18 10:15","4323.519N","07014.533W",-70.24221667,-70.23815,43.4107,43.39198333,"5/10/18","201880_89"
90,"Representative","201880","2-99 MAY ALT","5/10/18 11:32","4320.344N","07008.975W","5/10/18 12:02","4318.979N","07009.627W",-70.16045,-70.14958333,43.33906667,43.31631667,"5/10/18","201880_90"
91,"Representative","201880","2-48 MAY","5/10/18 13:07","4315.409N","07015.201W","5/10/18 13:27","4314.607N","07016.001W",-70.26668333,-70.25335,43.25681667,43.24345,"5/10/18","201880_91"
92,"Representative","201880","11-9 MAY","5/10/18 14:22","4313.470N","07010.696W","5/10/18 14:52","4312.037N","07010.202W",-70.17003333,-70.17826667,43.2245,43.20061667,"5/17/18","201880_92"
94,"Representative","201880","8-19 MAY","5/17/18 11:02","4224.624N","07023.368W","5/17/18 11:32","4223.291N","07022.608W",-70.3768,-70.38946667,42.4104,42.38818333,"5/17/18","201880_94"
95,"Representative","201880","11-5 MAY","5/17/18 13:39","4231.416N","07007.824W","5/17/18 14:04","4231.488N","07006.330W",-70.1055,-70.1304,42.5236,42.5248,"5/17/18","201880_95"
96,"Non-Representative","201880","11-6 MAY","5/17/18 14:53","4227.623N","07004.767W","5/17/18 15:09","4227.072N","07005.389W",-70.08981667,-70.07945,42.46038333,42.4512,"5/17/18","201880_96"
97,"Representative","201880","11-60 MAY ALT","5/17/18 16:07","4228.914N","07000.963W","5/17/18 16:37","4229.623N","06959.425W",-69.99041667,-70.01605,42.4819,42.49371667,"5/17/18","201880_97"
98,"Representative","201880","11-3 MAY","5/17/18 17:56","4222.350N","07000.779W","5/17/18 18:25","4220.943N","07001.084W",-70.01806667,-70.01298333,42.3725,42.34905,"5/17/18","201880_98"
99,"Representative","201880","11-11 MAY","5/17/18 20:01","4222.522N","07010.292W","5/17/18 20:31","4223.734N","07010.388W",-70.17313333,-70.17153333,42.37536667,42.39556667,"5/17/18","201880_99"
100,"Representative","201880","8-22 MAY","5/17/18 22:29","4220.475N","07026.092W","5/17/18 22:59","4220.695N","7028.051W",-2.134183333,-70.43486667,42.34125,42.34491667,"5/21/18","201880_100"
102,"Representative","201880","5-30 MAY","5/21/18 12:37","4236.304N","07016.371W","5/21/18 13:04","4237.597N","07016.676W",-70.27793333,-70.27285,42.60506667,42.62661667,"5/21/18","201880_102"
103,"Non-Representative","201880","11-8 MAY","5/21/18 14:36","4237.400N","07008.309W","5/21/18 14:50","4236.845N","07008.856W",-70.1476,-70.13848333,42.62333333,42.61408333,"5/21/18","201880_103"
104,"Representative","201880","11-53 MAY ALT","5/21/18 15:30","4238.626N","07005.822W","5/21/18 16:00","4239.991N","07005.507W",-70.09178333,-70.09703333,42.64376667,42.66651667,"5/21/18","201880_104"
105,"Representative","201880","11-12 MAY","5/21/18 17:00","4238.712N","06958.630W","5/21/18 17:30","4237.403N","06958.004W",-69.96673333,-69.97716667,42.6452,42.62338333,"5/21/18","201880_105"
106,"Representative","201880","11-2 MAY","5/21/18 19:18","4246.952N","06956.955W","5/21/18 19:47","4248.391N","06957.148W",-69.95246667,-69.94925,42.78253333,42.80651667,"5/21/18","201880_106"
107,"Representative","201880","11-13 MAY","5/21/18 21:00","4250.189N","07004.013W","5/21/18 21:30","4251.561N","07004.304W",-70.07173333,-70.06688333,42.83648333,42.85935,"5/21/18","201880_107"
108,"Representative","201880","5-32 MAY","5/21/18 23:11","4255.237N","07015.825W","5/21/18 23:41","4256.622N","07015.698W",-70.26163333,-70.26375,42.92061667,42.9437,"5/22/18","201880_108"
109,"Non-Representative","201880","4-86 MAY ALT","5/22/18 10:24","4251.288N","07044.735W","5/22/18 10:25","4251.263N","07044.770W",-70.74616667,-70.74558333,42.8548,42.85438333,"5/22/18","201880_109"
110,"Representative","201880","4-86 MAY ALT","5/22/18 10:29","4251.209N","07044.743W","5/22/18 10:59","4249.755N","07045.007W",-70.75011667,-70.74571667,42.85348333,42.82925,"5/22/18","201880_110"
111,"Representative","201880","4-37 MAY","5/22/18 11:40","4248.689N","07040.498W","5/22/18 12:10","4247.229N","07040.037W",-70.66728333,-70.67496667,42.81148333,42.78715,"5/22/18","201880_111"
112,"Representative","201880","4-36 MAY","5/22/18 13:00","4249.646N","07035.797W","5/22/18 13:31","4248.429N","07034.792W",-70.57986667,-70.59661667,42.82743333,42.80715,"5/22/18","201880_112"
113,"Representative","201880","5-29 MAY","5/22/18 14:36","4249.541N","07027.795W","5/22/18 15:06","4248.421N","07026.950W",-70.44916667,-70.46325,42.82568333,42.80701667,"5/22/18","201880_113"
114,"Representative","201880","5-31 MAY","5/22/18 16:00","4249.831N","07021.936W","5/22/18 16:22","4249.304N","07020.788W",-70.34646667,-70.3656,42.83051667,42.82173333,"5/22/18","201880_114"
115,"Representative","201880","5-33 MAY","5/22/18 17:32","4244.765N","07026.113W","5/22/18 18:02","4243.900N","07027.652W",-70.46086667,-70.43521667,42.74608333,42.73166667,"5/22/18","201880_115"
116,"Representative","201880","4-87 MAY ALT","5/22/18 19:05","4244.293N","07035.950W","5/22/18 19:25","4244.245N","07037.294W",-70.62156667,-70.59916667,42.73821667,42.73741667,"5/23/18","201880_116"
117,"Representative","201880","4-35 MAY","5/23/18 10:10","4231.403N","07034.738W","5/23/18 10:40","4231.921N","07032.934W",-70.5489,-70.57896667,42.52338333,42.53201667,"5/23/18","201880_117"
118,"Representative","201880","7-26 MAY","5/23/18 13:15","4225.014N","07048.583W","5/23/18 13:45","4224.065N","07046.857W",-70.78095,-70.80971667,42.4169,42.40108333,"5/23/18","201880_118"
119,"Representative","201880","7-25 MAY","5/23/18 14:46","4222.555N","07039.936W","5/23/18 15:16","4221.641N","07038.322W",-70.6387,-70.6656,42.37591667,42.36068333,"5/23/18","201880_119"
120,"Representative","201880","7-24 MAY","5/23/18 15:43","4220.579N","07036.546W","5/23/18 16:13","4219.519N","07035.165W",-70.58608333,-70.6091,42.34298333,42.32531667,"5/23/18","201880_120"
121,"Representative","201880","7-76 MAY ALT","5/23/18 16:51","4216.426N","07033.170W","5/23/18 17:21","4214.915N","07033.241W",-70.55401667,-70.55283333,42.27376667,42.24858333,"6/11/18","201880_121"
124,"Representative","201880","5-29 JUN","6/11/18 12:54","4239.289N","07027.144W","6/11/18 13:24","4238.579N","07028.894W",-70.48156667,-70.4524,42.65481667,42.64298333,"6/11/18","201880_124"
125,"Representative","201880","5-32 JUN","6/11/18 15:15","4237.792N","07015.503W","6/11/18 15:45","4239.205N","07016.062W",-70.2677,-70.25838333,42.62986667,42.65341667,"6/11/18","201880_125"
126,"Representative","201880","11-4 JUN","6/11/18 16:51","4241.498N","07009.662W","6/11/18 17:21","4242.412N","07011.083W",-70.18471667,-70.16103333,42.69163333,42.70686667,"6/11/18","201880_126"
127,"Representative","201880","5-33 JUN","6/11/18 18:46","4247.715N","07019.458W","6/11/18 19:16","4249.092N","07020.432W",-70.34053333,-70.3243,42.79525,42.8182,"6/11/18","201880_127"
128,"Representative","201880","5-30 JUN","6/11/18 20:08","4253.590N","07023.020W","6/11/18 20:38","4253.618N","07024.967W",-70.41611667,-70.38366667,42.89316667,42.89363333,"6/11/18","201880_128"
129,"Representative","201880","5-31 JUN","6/11/18 21:43","4257.558N","07023.698W","6/11/18 22:13","4258.736N","07024.740W",-70.41233333,-70.39496667,42.9593,42.97893333,"6/12/18","201880_129"
130,"Representative","201880","4-38 JUN","6/12/18 10:57","4248.195N","07045.050W","6/12/18 11:27","4246.741N","07045.321W",-70.75535,-70.75083333,42.80325,42.77901667,"6/12/18","201880_130"
131,"Representative","201880","4-36 JUN","6/12/18 12:21","4243.027N","07041.296W","6/12/18 12:51","4242.918N","07039.289W",-70.65481667,-70.68826667,42.71711667,42.7153,"6/12/18","201880_131"
132,"Representative","201880","4-86 JUN ALT","6/12/18 13:45","4247.345N","07039.269W","6/12/18 14:15","4248.439N","07037.912W",-70.63186667,-70.65448333,42.78908333,42.80731667,"6/12/18","201880_132"
133,"Representative","201880","4-87 JUN ALT","6/12/18 15:27","4243.701N","07033.156W","6/12/18 15:57","4242.430N","07032.132W",-70.53553333,-70.5526,42.72835,42.70716667,"6/12/18","201880_133"
134,"Representative","201880","7-24 JUN","6/12/18 19:55","4228.407N","07037.731W","6/12/18 20:25","4229.817N","07036.953W",-70.61588333,-70.62885,42.47345,42.49695,"6/13/18","201880_134"
135,"Representative","201880","7-28 JUN","6/13/18 11:01","4227.124N","07047.722W","6/13/18 11:23","4228.032N","07046.947W",-70.78245,-70.79536667,42.45206667,42.4672,"6/13/18","201880_135"
136,"Representative","201880","7-25 JUN","6/13/18 12:59","4222.348N","07042.697W","6/13/18 13:25","4222.813N","07041.114W",-70.68523333,-70.71161667,42.37246667,42.38021667,"6/13/18","201880_136"
137,"Representative","201880","7-27 JUN","6/13/18 14:14","4220.741N","07036.736W","6/13/18 14:44","4219.630N","07035.394W",-70.5899,-70.61226667,42.34568333,42.32716667,"6/13/18","201880_137"
138,"Representative","201880","7-26 JUN","6/13/18 15:37","4223.402N","07031.417W","6/13/18 16:07","4224.774N","07031.062W",-70.5177,-70.52361667,42.39003333,42.4129,"6/13/18","201880_138"
139,"Representative","201880","8-21 JUN","6/13/18 18:00","4227.609N","07026.997W","6/13/18 18:30","4226.548N","07025.601W",-70.42668333,-70.44995,42.46015,42.44246667,"6/13/18","201880_139"
140,"Representative","201880","8-18 JUN","6/13/18 20:25","4217.202N","07026.664W","6/13/18 20:55","4218.573N","07027.398W",-70.45663333,-70.4444,42.2867,42.30955,"6/19/18","201880_140"
142,"Representative","201880","11-9 JUN","6/19/18 15:23","4252.245N","07006.993W","6/19/18 15:53","4253.202N","07005.558W",-70.09263333,-70.11655,42.87075,42.8867,"6/19/18","201880_142"
143,"Representative","201880","11-6 JUN","6/19/18 17:34","4255.825N","06957.515W","6/19/18 18:04","4257.268N","06957.848W",-69.96413333,-69.95858333,42.93041667,42.95446667,"6/19/18","201880_143"
144,"Representative","201880","11-2 JUN","6/19/18 18:51","4300.331N","06958.319W","6/19/18 19:21","4301.735N","06958.452W",-69.9742,-69.97198333,43.00551667,43.02891667,"6/19/18","201880_144"
145,"Representative","201880","3-47 JUN","6/19/18 20:33","4303.325N","06950.791W","6/19/18 21:03","4302.664N","06949.104W",-69.8184,-69.84651667,43.05541667,43.0444,"6/19/18","201880_145"
146,"Non-Representative","201880","3-41 JUN","6/19/18 22:49","4304.428N","06940.356W","6/19/18 23:08","4305.184N","06940.806W",-69.6801,-69.6726,43.0738,43.0864,"6/20/18","201880_146"
147,"Representative","201880","3-40 JUN","6/20/18 10:42","4308.564N","06931.510W","6/20/18 11:12","4307.552N","06932.983W",-69.54971667,-69.52516667,43.14273333,43.12586667,"6/20/18","201880_147"
148,"Representative","201880","3-43 JUN","6/20/18 13:08","4313.490N","06944.972W","6/20/18 13:34","4314.707N","06944.791W",-69.74651667,-69.74953333,43.22483333,43.24511667,"6/20/18","201880_148"
149,"Representative","201880","3-44 JUN","6/20/18 15:04","4315.994N","06935.744W","6/20/18 15:34","4316.043N","06933.742W",-69.56236667,-69.59573333,43.26656667,43.26738333,"6/20/18","201880_149"
150,"Representative","201880","3-39 JUN","6/20/18 17:27","4323.356N","06943.592W","6/20/18 17:57","4324.015N","06945.376W",-69.75626667,-69.72653333,43.38926667,43.40025,"6/20/18","201880_150"
151,"Representative","201880","3-42 JUN","6/20/18 18:36","4324.449N","06948.427W","6/20/18 18:58","4323.674N","06949.231W",-69.82051667,-69.80711667,43.40748333,43.39456667,"6/20/18","201880_151"
152,"Representative","201880","3-45 JUN","6/20/18 20:20","4324.917N","06957.039W","6/20/18 20:50","4326.231N","06956.343W",-69.93905,-69.95065,43.41528333,43.43718333,"6/20/18","201880_152"
153,"Representative","201880","3-46 JUN","6/20/18 21:35","4327.861N","06954.832W","6/20/18 22:05","4329.150N","06954.066W",-69.9011,-69.91386667,43.46435,43.48583333,"6/21/18","201880_153"
154,"Representative","201880","2-50 JUN","6/21/18 9:42","4323.699N","07014.468W","6/21/18 10:12","4325.023N","07013.920W",-70.232,-70.24113333,43.39498333,43.41705,"6/21/18","201880_154"
155,"Representative","201880","2-49 JUN","6/21/18 11:38","4320.755N","07004.793W","6/21/18 12:08","4319.429N","07004.025W",-70.06708333,-70.07988333,43.34591667,43.32381667,"6/21/18","201880_155"
156,"Representative","201880","2-48 JUN","6/21/18 14:21","4309.365N","07017.806W","6/21/18 14:41","4308.643N","07016.999W",-70.28331667,-70.29676667,43.15608333,43.14405,"6/21/18","201880_156"
