left,top,right,bottom,grid_id
-70.68286,42.63115,-70.56739,42.53115,52
-70.68286,42.53115,-70.56739,42.43115,53
-70.68286,42.43115,-70.56739,42.33115,54
-70.68286,42.33115,-70.56739,42.23115,55
-70.68286,42.23115,-70.56739,42.13115,56
-70.68286,42.13115,-70.56739,42.03115,57
-70.68286,42.03115,-70.56739,41.93115,58
-70.68286,41.93115,-70.56739,41.83115,59
-70.68286,41.83115,-70.56739,41.73115,60
-70.59626,43.68115,-70.48079,43.58115,61
-70.59626,43.58115,-70.48079,43.48115,62
-70.59626,43.48115,-70.48079,43.38115,63
-70.59626,43.38115,-70.48079,43.28115,64
-70.59626,43.28115,-70.48079,43.18115,65
-70.59626,43.18115,-70.48079,43.08115,66
-70.59626,43.08115,-70.48079,42.98115,67
-70.59626,42.98115,-70.48079,42.88115,68
-70.59626,42.88115,-70.48079,42.78115,69
-70.59626,42.78115,-70.48079,42.68115,70
-70.59626,42.68115,-70.48079,42.58115,71
-70.59626,42.58115,-70.48079,42.48115,72
-70.59626,42.48115,-70.48079,42.38115,73
-70.59626,42.38115,-70.48079,42.28115,74
-70.59626,42.28115,-70.48079,42.18115,75
-70.59626,42.18115,-70.48079,42.08115,76
-70.59626,42.08115,-70.48079,41.98115,77
-70.59626,41.98115,-70.48079,41.88115,78
-70.59626,41.88115,-70.48079,41.78115,79
-70.59626,41.78115,-70.48079,41.68115,80
-70.50966,43.73115,-70.39419,43.63115,81
-70.50966,43.63115,-70.39419,43.53115,82
-70.50966,43.53115,-70.39419,43.43115,83
-70.50966,43.43115,-70.39419,43.33115,84
-70.50966,43.33115,-70.39419,43.23115,85
-70.50966,43.23115,-70.39419,43.13115,86
-70.50966,43.13115,-70.39419,43.03115,87
-70.50966,43.03115,-70.39419,42.93115,88
-70.50966,42.93115,-70.39419,42.83115,89
-70.50966,42.83115,-70.39419,42.73115,90
-70.50966,42.73115,-70.39419,42.63115,91
-70.50966,42.63115,-70.39419,42.53115,92
-70.50966,42.53115,-70.39419,42.43115,93
-70.50966,42.43115,-70.39419,42.33115,94
-70.50966,42.33115,-70.39419,42.23115,95
-70.50966,42.23115,-70.39419,42.13115,96
-70.50966,42.13115,-70.39419,42.03115,97
-70.50966,42.03115,-70.39419,41.93115,98
-70.50966,41.93115,-70.39419,41.83115,99
-70.50966,41.83115,-70.39419,41.73115,100
-70.42305,43.68115,-70.30758,43.58115,101
-70.42305,43.58115,-70.30758,43.48115,102
-70.42305,43.48115,-70.30758,43.38115,103
-70.42305,43.38115,-70.30758,43.28115,104
-70.42305,43.28115,-70.30758,43.18115,105
-70.42305,43.18115,-70.30758,43.08115,106
-70.42305,43.08115,-70.30758,42.98115,107
-70.42305,42.98115,-70.30758,42.88115,108
-70.42305,42.88115,-70.30758,42.78115,109
-70.42305,42.78115,-70.30758,42.68115,110
-70.42305,42.68115,-70.30758,42.58115,111
-70.42305,42.58115,-70.30758,42.48115,112
-70.42305,42.48115,-70.30758,42.38115,113
-70.42305,42.38115,-70.30758,42.28115,114
-70.42305,42.28115,-70.30758,42.18115,115
-70.42305,42.18115,-70.30758,42.08115,116
-70.42305,42.08115,-70.30758,41.98115,117
-70.42305,41.98115,-70.30758,41.88115,118
-70.42305,41.88115,-70.30758,41.78115,119
-70.42305,41.78115,-70.30758,41.68115,120
-70.33645,43.73115,-70.22098,43.63115,121
-70.33645,43.63115,-70.22098,43.53115,122
-70.33645,43.53115,-70.22098,43.43115,123
-70.33645,43.43115,-70.22098,43.33115,124
-70.33645,43.33115,-70.22098,43.23115,125
-70.33645,43.23115,-70.22098,43.13115,126
-70.33645,43.13115,-70.22098,43.03115,127
-70.33645,43.03115,-70.22098,42.93115,128
-70.33645,42.93115,-70.22098,42.83115,129
-70.33645,42.83115,-70.22098,42.73115,130
-70.33645,42.73115,-70.22098,42.63115,131
-70.33645,42.63115,-70.22098,42.53115,132
-70.33645,42.53115,-70.22098,42.43115,133
-70.33645,42.43115,-70.22098,42.33115,134
-70.33645,42.33115,-70.22098,42.23115,135
-70.33645,42.23115,-70.22098,42.13115,136
-70.33645,42.13115,-70.22098,42.03115,137
-70.33645,42.03115,-70.22098,41.93115,138
-70.33645,41.93115,-70.22098,41.83115,139
-70.33645,41.83115,-70.22098,41.73115,140
-70.24985,43.68115,-70.13438,43.58115,141
-70.24985,43.58115,-70.13438,43.48115,142
-70.24985,43.48115,-70.13438,43.38115,143
-70.24985,43.38115,-70.13438,43.28115,144
-70.24985,43.28115,-70.13438,43.18115,145
-70.24985,43.18115,-70.13438,43.08115,146
-70.24985,43.08115,-70.13438,42.98115,147
-70.24985,42.98115,-70.13438,42.88115,148
-70.24985,42.88115,-70.13438,42.78115,149
-70.24985,42.78115,-70.13438,42.68115,150
-70.24985,42.68115,-70.13438,42.58115,151
-70.24985,42.58115,-70.13438,42.48115,152
-70.24985,42.48115,-70.13438,42.38115,153
-70.24985,42.38115,-70.13438,42.28115,154
-70.24985,42.28115,-70.13438,42.18115,155
-70.24985,42.18115,-70.13438,42.08115,156
-70.24985,42.08115,-70.13438,41.98115,157
-70.24985,41.98115,-70.13438,41.88115,158
-70.24985,41.88115,-70.13438,41.78115,159
-70.24985,41.78115,-70.13438,41.68115,160
-70.16325,43.73115,-70.04778,43.63115,161
-70.16325,43.63115,-70.04778,43.53115,162
-70.16325,43.53115,-70.04778,43.43115,163
-70.16325,43.43115,-70.04778,43.33115,164
-70.16325,43.33115,-70.04778,43.23115,165
-70.16325,43.23115,-70.04778,43.13115,166
-70.16325,43.13115,-70.04778,43.03115,167
-70.16325,43.03115,-70.04778,42.93115,168
-70.16325,42.93115,-70.04778,42.83115,169
-70.16325,42.83115,-70.04778,42.73115,170
-70.16325,42.73115,-70.04778,42.63115,171
-70.16325,42.63115,-70.04778,42.53115,172
-70.16325,42.53115,-70.04778,42.43115,173
-70.16325,42.43115,-70.04778,42.33115,174
-70.16325,42.33115,-70.04778,42.23115,175
-70.16325,42.23115,-70.04778,42.13115,176
-70.16325,42.13115,-70.04778,42.03115,177
-70.16325,42.03115,-70.04778,41.93115,178
-70.16325,41.93115,-70.04778,41.83115,179
-70.16325,41.83115,-70.04778,41.73115,180
-70.07664,43.68115,-69.96117,43.58115,181
-70.07664,43.58115,-69.96117,43.48115,182
-70.07664,43.48115,-69.96117,43.38115,183
-70.07664,43.38115,-69.96117,43.28115,184
-70.07664,43.28115,-69.96117,43.18115,185
-70.07664,43.18115,-69.96117,43.08115,186
-70.07664,43.08115,-69.96117,42.98115,187
-70.07664,42.98115,-69.96117,42.88115,188
-70.07664,42.88115,-69.96117,42.78115,189
-70.07664,42.78115,-69.96117,42.68115,190
-70.07664,42.68115,-69.96117,42.58115,191
-70.07664,42.58115,-69.96117,42.48115,192
-70.07664,42.48115,-69.96117,42.38115,193
-70.07664,42.38115,-69.96117,42.28115,194
-70.07664,42.28115,-69.96117,42.18115,195
-70.07664,42.18115,-69.96117,42.08115,196
-70.07664,42.08115,-69.96117,41.98115,197
-70.07664,41.98115,-69.96117,41.88115,198
-70.07664,41.88115,-69.96117,41.78115,199
-70.07664,41.78115,-69.96117,41.68115,200
-69.99004,43.73115,-69.87457,43.63115,201
-69.99004,43.63115,-69.87457,43.53115,202
-69.99004,43.53115,-69.87457,43.43115,203
-69.99004,43.43115,-69.87457,43.33115,204
-69.99004,43.33115,-69.87457,43.23115,205
-69.99004,43.23115,-69.87457,43.13115,206
-69.99004,43.13115,-69.87457,43.03115,207
-69.99004,43.03115,-69.87457,42.93115,208
-69.99004,42.93115,-69.87457,42.83115,209
-69.99004,42.83115,-69.87457,42.73115,210
-69.99004,42.73115,-69.87457,42.63115,211
-69.99004,42.63115,-69.87457,42.53115,212
-69.99004,42.53115,-69.87457,42.43115,213
-69.99004,42.43115,-69.87457,42.33115,214
-69.99004,42.33115,-69.87457,42.23115,215
-69.99004,42.23115,-69.87457,42.13115,216
-69.99004,42.13115,-69.87457,42.03115,217
-69.99004,42.03115,-69.87457,41.93115,218
-69.99004,41.93115,-69.87457,41.83115,219
-69.99004,41.83115,-69.87457,41.73115,220
-69.90344,43.68115,-69.78797,43.58115,221
-69.90344,43.58115,-69.78797,43.48115,222
-69.90344,43.48115,-69.78797,43.38115,223
-69.90344,43.38115,-69.78797,43.28115,224
-69.90344,43.28115,-69.78797,43.18115,225
-69.90344,43.18115,-69.78797,43.08115,226
-69.90344,43.08115,-69.78797,42.98115,227
-69.90344,42.98115,-69.78797,42.88115,228
-69.90344,42.88115,-69.78797,42.78115,229
-69.90344,42.78115,-69.78797,42.68115,230
-69.90344,42.68115,-69.78797,42.58115,231
-69.90344,42.58115,-69.78797,42.48115,232
-69.90344,42.48115,-69.78797,42.38115,233
-69.90344,42.38115,-69.78797,42.28115,234
-69.90344,42.28115,-69.78797,42.18115,235
-69.90344,42.18115,-69.78797,42.08115,236
-69.90344,42.08115,-69.78797,41.98115,237
-69.90344,41.98115,-69.78797,41.88115,238
-69.90344,41.88115,-69.78797,41.78115,239
-69.90344,41.78115,-69.78797,41.68115,240
-69.81684,43.73115,-69.70137,43.63115,241
-69.81684,43.63115,-69.70137,43.53115,242
-69.81684,43.53115,-69.70137,43.43115,243
-69.81684,43.43115,-69.70137,43.33115,244
-69.81684,43.33115,-69.70137,43.23115,245
-69.81684,43.23115,-69.70137,43.13115,246
-69.81684,43.13115,-69.70137,43.03115,247
-69.81684,43.03115,-69.70137,42.93115,248
-69.81684,42.93115,-69.70137,42.83115,249
-69.81684,42.83115,-69.70137,42.73115,250
-69.81684,42.73115,-69.70137,42.63115,251
-69.81684,42.63115,-69.70137,42.53115,252
-69.81684,42.53115,-69.70137,42.43115,253
-69.81684,42.43115,-69.70137,42.33115,254
-69.81684,42.33115,-69.70137,42.23115,255
-69.81684,42.23115,-69.70137,42.13115,256
-69.81684,42.13115,-69.70137,42.03115,257
-69.81684,42.03115,-69.70137,41.93115,258
-69.81684,41.93115,-69.70137,41.83115,259
-69.81684,41.83115,-69.70137,41.73115,260
-69.73023,43.68115,-69.61476,43.58115,261
-69.73023,43.58115,-69.61476,43.48115,262
-69.73023,43.48115,-69.61476,43.38115,263
-69.73023,43.38115,-69.61476,43.28115,264
-69.73023,43.28115,-69.61476,43.18115,265
-69.73023,43.18115,-69.61476,43.08115,266
-69.73023,43.08115,-69.61476,42.98115,267
-69.73023,42.98115,-69.61476,42.88115,268
-69.73023,42.88115,-69.61476,42.78115,269
-69.73023,42.78115,-69.61476,42.68115,270
-69.73023,42.68115,-69.61476,42.58115,271
-69.73023,42.58115,-69.61476,42.48115,272
-69.73023,42.48115,-69.61476,42.38115,273
-69.73023,42.38115,-69.61476,42.28115,274
-69.73023,42.28115,-69.61476,42.18115,275
-69.73023,42.18115,-69.61476,42.08115,276
-69.73023,42.08115,-69.61476,41.98115,277
-69.73023,41.98115,-69.61476,41.88115,278
-69.73023,41.88115,-69.61476,41.78115,279
-69.73023,41.78115,-69.61476,41.68115,280
-69.64363,43.73115,-69.52816,43.63115,281
-69.64363,43.63115,-69.52816,43.53115,282
-69.64363,43.53115,-69.52816,43.43115,283
-69.64363,43.43115,-69.52816,43.33115,284
-69.64363,43.33115,-69.52816,43.23115,285
-69.64363,43.23115,-69.52816,43.13115,286
-69.64363,43.13115,-69.52816,43.03115,287
-69.64363,43.03115,-69.52816,42.93115,288
-69.64363,42.93115,-69.52816,42.83115,289
-69.64363,42.83115,-69.52816,42.73115,290
-69.64363,42.73115,-69.52816,42.63115,291
-69.64363,42.63115,-69.52816,42.53115,292
-69.64363,42.53115,-69.52816,42.43115,293
-69.64363,42.43115,-69.52816,42.33115,294
-69.64363,42.33115,-69.52816,42.23115,295
-69.64363,42.23115,-69.52816,42.13115,296
-69.64363,42.13115,-69.52816,42.03115,297
-69.64363,42.03115,-69.52816,41.93115,298
-69.64363,41.93115,-69.52816,41.83115,299
-69.64363,41.83115,-69.52816,41.73115,300
-69.55703,43.68115,-69.44156,43.58115,301
-69.55703,43.58115,-69.44156,43.48115,302
-69.55703,43.48115,-69.44156,43.38115,303
-69.55703,43.38115,-69.44156,43.28115,304
-69.55703,43.28115,-69.44156,43.18115,305
-69.55703,43.18115,-69.44156,43.08115,306
-69.55703,43.08115,-69.44156,42.98115,307
-69.55703,42.98115,-69.44156,42.88115,308
-69.55703,42.88115,-69.44156,42.78115,309
-69.55703,42.78115,-69.44156,42.68115,310
-69.55703,42.68115,-69.44156,42.58115,311
-69.55703,42.58115,-69.44156,42.48115,312
-69.55703,42.48115,-69.44156,42.38115,313
-69.55703,42.38115,-69.44156,42.28115,314
-69.55703,42.28115,-69.44156,42.18115,315
-69.55703,42.18115,-69.44156,42.08115,316
-69.55703,42.08115,-69.44156,41.98115,317
-69.55703,41.98115,-69.44156,41.88115,318
-69.55703,41.88115,-69.44156,41.78115,319
-69.55703,41.78115,-69.44156,41.68115,320
